_time,host,EventCode,user,src_ip,process,command_line,status,description
2025-09-10T09:00:00,WIN-DC01,4634,charles,10.0.0.44,winword.exe,,OK,normal_activity
2025-09-10T09:00:05,WIN-DB01,4688,eve,10.0.0.44,explorer.exe,,OK,normal_activity
2025-09-10T09:00:10,WIN-DB01,4634,bob,10.0.0.5,explorer.exe,,OK,normal_activity
2025-09-10T09:00:15,WIN-WS01,4688,bob,10.0.0.44,winword.exe,,OK,normal_activity
2025-09-10T09:00:20,WIN-WS01,4688,david,10.0.0.12,outlook.exe,,OK,normal_activity
2025-09-10T09:00:25,WIN-APP01,4688,david,10.0.0.8,chrome.exe,,OK,normal_activity
2025-09-10T09:00:30,WIN-APP01,4634,eve,10.0.0.8,chrome.exe,,OK,normal_activity
2025-09-10T09:00:35,WIN-DC01,4688,eve,10.0.0.5,winword.exe,,OK,normal_activity
2025-09-10T09:00:40,WIN-DC01,4688,charles,10.0.0.5,explorer.exe,,OK,normal_activity
2025-09-10T09:00:45,WIN-WS01,4634,charles,10.0.0.5,explorer.exe,,OK,normal_activity
2025-09-10T09:00:50,WIN-DB01,4634,alice,10.0.0.12,outlook.exe,,OK,normal_activity
2025-09-10T09:00:55,WIN-DC01,4688,itadmin,10.0.0.12,outlook.exe,,OK,normal_activity
2025-09-10T09:01:00,WIN-DB01,4624,itadmin,10.0.0.8,explorer.exe,,OK,normal_activity
2025-09-10T09:01:05,WIN-WS02,4634,itadmin,10.0.0.5,outlook.exe,,OK,normal_activity
2025-09-10T09:01:10,WIN-DB01,4634,eve,10.0.0.44,winword.exe,,OK,normal_activity
2025-09-10T09:01:15,WIN-DB01,4624,bob,10.0.0.8,winword.exe,,OK,normal_activity
2025-09-10T09:01:20,WIN-APP01,4688,david,10.0.0.12,chrome.exe,,OK,normal_activity
2025-09-10T09:01:25,WIN-WS02,4688,itadmin,10.0.0.8,outlook.exe,,OK,normal_activity
2025-09-10T09:01:30,WIN-APP01,4634,itadmin,10.0.0.8,explorer.exe,,OK,normal_activity
2025-09-10T09:01:35,WIN-DC01,4634,alice,10.0.0.5,explorer.exe,,OK,normal_activity
2025-09-10T09:01:40,WIN-WS01,4634,charles,10.0.0.12,outlook.exe,,OK,normal_activity
2025-09-10T09:01:45,WIN-DC01,4624,david,10.0.0.44,explorer.exe,,OK,normal_activity
2025-09-10T09:01:50,WIN-APP01,4688,alice,10.0.0.8,explorer.exe,,OK,normal_activity
2025-09-10T09:01:55,WIN-WS01,4624,david,10.0.0.44,explorer.exe,,OK,normal_activity
2025-09-10T09:02:00,WIN-DC01,4688,eve,10.0.0.12,outlook.exe,,OK,normal_activity
2025-09-10T09:02:05,WIN-DC01,4634,bob,10.0.0.44,explorer.exe,,OK,normal_activity
2025-09-10T09:02:10,WIN-WS01,4688,charles,10.0.0.8,outlook.exe,,OK,normal_activity
2025-09-10T09:02:15,WIN-WS02,4634,eve,10.0.0.8,winword.exe,,OK,normal_activity
2025-09-10T09:02:20,WIN-WS01,4624,alice,10.0.0.44,winword.exe,,OK,normal_activity
2025-09-10T09:02:25,WIN-APP01,4688,charles,10.0.0.8,explorer.exe,,OK,normal_activity
2025-09-10T09:02:30,WIN-DB01,4688,david,10.0.0.12,outlook.exe,,OK,normal_activity
2025-09-10T09:02:35,WIN-APP01,4634,charles,10.0.0.5,explorer.exe,,OK,normal_activity
2025-09-10T09:02:40,WIN-WS01,4688,charles,10.0.0.44,explorer.exe,,OK,normal_activity
2025-09-10T09:02:45,WIN-DB01,4688,david,10.0.0.44,explorer.exe,,OK,normal_activity
2025-09-10T09:02:50,WIN-DC01,4634,bob,10.0.0.12,chrome.exe,,OK,normal_activity
2025-09-10T09:02:55,WIN-DB01,4634,itadmin,10.0.0.12,outlook.exe,,OK,normal_activity
2025-09-10T09:03:00,WIN-WS01,4624,alice,10.0.0.12,winword.exe,,OK,normal_activity
2025-09-10T09:03:05,WIN-DC01,4688,david,10.0.0.5,explorer.exe,,OK,normal_activity
2025-09-10T09:03:10,WIN-DB01,4634,eve,10.0.0.12,outlook.exe,,OK,normal_activity
2025-09-10T09:03:15,WIN-DB01,4634,eve,10.0.0.8,explorer.exe,,OK,normal_activity
2025-09-10T09:03:20,WIN-APP01,4688,itadmin,10.0.0.5,chrome.exe,,OK,normal_activity
2025-09-10T09:03:25,WIN-DB01,4624,alice,10.0.0.44,explorer.exe,,OK,normal_activity
2025-09-10T09:03:30,WIN-DB01,4634,itadmin,10.0.0.12,explorer.exe,,OK,normal_activity
2025-09-10T09:03:35,WIN-DC01,4634,charles,10.0.0.5,winword.exe,,OK,normal_activity
2025-09-10T09:03:40,WIN-DC01,4634,david,10.0.0.44,explorer.exe,,OK,normal_activity
2025-09-10T09:03:45,WIN-DB01,4634,charles,10.0.0.8,outlook.exe,,OK,normal_activity
2025-09-10T09:03:50,WIN-WS02,4634,itadmin,10.0.0.8,chrome.exe,,OK,normal_activity
2025-09-10T09:03:55,WIN-DB01,4688,charles,10.0.0.44,chrome.exe,,OK,normal_activity
2025-09-10T09:04:00,WIN-WS02,4634,david,10.0.0.44,outlook.exe,,OK,normal_activity
2025-09-10T09:04:05,WIN-DB01,4634,itadmin,10.0.0.44,chrome.exe,,OK,normal_activity
2025-09-10T09:04:10,WIN-WS02,4634,eve,10.0.0.12,chrome.exe,,OK,normal_activity
2025-09-10T09:04:15,WIN-WS01,4624,bob,10.0.0.5,explorer.exe,,OK,normal_activity
2025-09-10T09:04:20,WIN-DC01,4634,alice,10.0.0.12,explorer.exe,,OK,normal_activity
2025-09-10T09:04:25,WIN-DB01,4634,david,10.0.0.5,chrome.exe,,OK,normal_activity
2025-09-10T09:04:30,WIN-DB01,4688,itadmin,10.0.0.12,explorer.exe,,OK,normal_activity
2025-09-10T09:04:35,WIN-WS01,4634,eve,10.0.0.5,explorer.exe,,OK,normal_activity
